Segment,Action,Value,Duration,Status
1,Drive,0.8m,2.67s,Success
1,Turn,30°,1.05s,Success
2,Drive,0.8m,2.67s,Success
2,Turn,30°,1.05s,Success
3,Drive,0.8m,2.67s,Success
3,Turn,30°,1.05s,Success
4,Drive,0.8m,2.67s,Success
4,Turn,30°,1.05s,Success
5,Drive,0.8m,2.67s,Success
5,Turn,30°,1.05s,Success
6,Drive,0.8m,2.67s,Success
6,Turn,30°,1.05s,Success
7,Drive,0.8m,2.67s,Success
7,Turn,30°,1.05s,Success
8,Drive,0.8m,2.67s,Success
8,Turn,30°,1.05s,Success
9,Drive,0.8m,2.67s,Success
9,Turn,30°,1.05s,Success
10,Drive,0.8m,2.67s,Success
10,Turn,30°,1.05s,Success
11,Drive,0.8m,2.67s,Success
11,Turn,30°,1.05s,Success
12,Drive,0.8m,2.67s,Success
12,Turn,30°,1.05s,Success
